bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,gcj02_LNG,gcj02_LAT,wgs84_LNG,wgs84_LAT
13054000.0,3763600.0,3,117.26524683599246,32.17735692670759,117.25878965041167,32.17115917898256,117.25327423661746,32.173242213030285
13048000.0,3761700.0,1,117.21046182451481,32.16208513549727,117.20393552081725,32.15619596492811,117.19839175396056,32.15823124741868
13042600.0,3718200.0,7,117.16195395107697,31.82906183303252,117.15540919755063,31.823155141984977,117.14981689939782,31.82503124241985
13058400.0,3710700.0,1,117.30476417874449,31.772269324116387,117.29818831177728,31.766624783342824,117.29265755162967,31.768591667350563
13054800.0,3735600.0,11,117.27243163585042,31.963171102185978,117.2659339118399,31.957091868801236,117.26043351756653,31.959127457528723
13038300.0,3731000.0,1,117.12331933626425,31.92717570599429,117.11691301404346,31.920828706903706,117.11127693595282,31.922679011887205
13079400.0,3714700.0,1,117.49254021640559,31.802218765139475,117.48613485256554,31.795885451723667,117.48052647184171,31.797828645105376
13064500.0,3710800.0,1,117.35955955238228,31.773035920183684,117.35316783956766,31.766711296950515,117.34750453204546,31.768579748476878
13070200.0,3721700.0,5,117.41077409950182,31.85589245558162,117.40419988572727,31.85012827065092,117.39845112135748,31.851955560839723
13078500.0,3751000.0,2,117.48445488342873,32.08028917788594,117.4780317091378,32.07393345757562,117.47237100115788,32.0759138685017
13010700.0,3690800.0,3,116.8753913227111,31.618666206722953,116.8689632517199,31.61237049996961,116.8638864408267,31.614521719970742
13120600.0,3687700.0,1,117.86263622271612,31.594832611559074,117.85617970243645,31.588593347040756,117.85087927418124,31.59070980003515
13005200.0,3707200.0,1,116.82598745717627,31.744654517615448,116.8193912835106,31.73900452474768,116.81422539016236,31.74107587020109
13080300.0,3722000.0,2,117.5006261697674,31.8582075429453,117.49418864551569,31.851945797807794,117.488601805985,31.85392268973877
13055400.0,3742900.0,4,117.27782024692026,32.019059731746005,117.27133259341005,32.0130894576304,117.2658216488628,32.015135311185844
13061000.0,3733100.0,4,117.32811820800194,31.944013898568674,117.32156153099442,31.938160123245815,117.3159608180507,31.94012114955725
13074400.0,3754500.0,2,117.44761636884988,32.10704818850991,117.44107420041223,32.10120725221571,117.43532245636938,32.10311416999555
13068700.0,3715200.0,1,117.39729608363726,31.806803164761085,117.39079130591182,31.800817528250494,117.38505727987932,31.80264181085415
13052300.0,3718200.0,8,117.2490811073506,31.829053235161606,117.24265774431316,31.82270004653051,117.23717843803068,31.82470638480432
13053000.0,3765700.0,3,117.25626604649835,32.19340231871467,117.24983103210943,32.187090917560255,117.24431740462312,32.18917620304851
13038100.0,3767100.0,1,117.1215227108681,32.2033363455783,117.11509813161432,32.19699155905531,117.109435533085,32.1988987384205
13067000.0,3748700.0,1,117.38202106744822,32.06343765270265,117.37557188966494,32.05719209967797,117.36983456380752,32.05908693178881
13057200.0,3729000.0,9,117.2939863872564,31.912607795444995,117.28742291476213,31.906889407296838,117.2818992636124,31.90889663941513
13040000.0,3719000.0,4,117.13859469626149,31.835193109702626,117.13215222875115,31.828905243458728,117.12653200289948,31.830749133159088
13020700.0,3735100.0,2,116.9660983109605,31.959331146941288,116.95952938164788,31.953508837942294,116.95433680720129,31.955675656943235
13036600.0,3716300.0,10,117.1089425098492,31.814478749147064,117.10249247901076,31.808262798464632,117.09687035581167,31.810086702732164
13058600.0,3752000.0,1,117.30656032690868,32.08867781109318,117.29994910273165,32.08302561376562,117.2943849555276,32.08505633319591
13051100.0,3746000.0,1,117.23830346768457,32.042026982495166,117.23189535037717,32.0357076561966,117.22639229646896,32.03775363676304
13043300.0,3715500.0,3,117.16824276564796,31.808351667210147,117.16168539332165,31.802552854791692,117.1561047993317,31.804436280163365
13011600.0,3730500.0,4,116.88347411854456,31.923346528744574,116.87707176416187,31.917000834851628,116.87197601018684,31.919202069391115
13073700.0,3639900.0,3,117.4413266213078,31.22654965997584,117.4347423770112,31.220797560818482,117.42906591581972,31.22271170363929
13049300.0,3661400.0,4,117.22213750916998,31.392381136493267,117.2156712990993,31.386279913808185,117.210214583698,31.388274536895608
13044700.0,3798900.0,1,117.1808193347315,32.44591146060239,117.17420988384278,32.440242365016836,117.16858961675509,32.44223515240524
13090300.0,3688600.0,2,117.5904419915593,31.601749502911403,117.58398685088488,31.595508670724286,117.57866896461456,31.59766992064881
13050800.0,3784500.0,2,117.23560972900808,32.336145150867985,117.22918179608538,32.3298456953813,117.22364923314548,32.33193141000352
13055400.0,3728400.0,3,117.27782025780573,31.90801202126326,117.27132919111187,31.90204072714022,117.26582865686488,31.904061107513545
13062500.0,3717100.0,8,117.34159220680465,31.821370574080085,117.3351035660191,31.815273872295894,117.32948020502177,31.81718370319457
13088100.0,3757500.0,1,117.57068474874903,32.12998440817547,117.56417418328266,32.12409535420851,117.55877657797387,32.12631636053411
13027700.0,3686600.0,2,117.02897501648029,31.58711952203404,117.0224941044943,31.580980433606154,117.01709394506224,31.58292299376351
13011800.0,3696100.0,2,116.88527065203488,31.65939788588573,116.87888450824691,31.653053008739004,116.87381356164292,31.655217152169797
13062300.0,3614200.0,1,117.33979599464902,31.028694896048506,117.33331472548319,31.022634812726178,117.32776960155924,31.02473137115941
13024700.0,3682400.0,1,117.00202510200182,31.55481573819613,116.9956282358607,31.548476861353855,116.99033948038718,31.55050201647201
13125600.0,3686000.0,9,117.90754254332683,31.58175268132699,117.90093350284828,31.576102098377856,117.8957091551235,31.578266761379897
13053300.0,3739500.0,3,117.25896071576804,31.993036218737373,117.25254340082049,31.986759462390797,117.24704799721503,31.98880404684682
13043000.0,3723100.0,3,117.16554732480468,31.86663610423919,117.15900471448742,31.86079596746224,117.1534143679227,31.862685543650507
13071800.0,3719300.0,12,117.42425322103372,31.837491270309442,117.4176392405099,31.83183562683853,117.4118915154436,31.833661054270497
13045800.0,3719200.0,14,117.19070073188105,31.836730743199944,117.18408814814838,31.831069037908904,117.17854304250386,31.83299928685851
13114300.0,3762800.0,1,117.80604263074625,32.1704899448381,117.79948748471263,32.16467351619578,117.7939936020823,32.166781633250665
13049200.0,3712200.0,19,117.22123926334865,31.78302922103048,117.21478091917373,31.77694700169695,117.20928704705317,31.778919423635937
